ID;X;Y
229;-38.17844402;-19.96938916
230;-38.31267178;-19.27652311
231;-38.81209923;-19.07954388
232;-38.13501374;-19.35841884
233;-38.17592008;-19.84963224
234;-38.7674746;-19.53596594
235;-40.66366129;-21.06309561
236;-38.00571958;-19.65388466
237;-39.82470834;-20.13424613
238;-39.84801347;-19.93269196
239;-38.71177314;-19.03604994
240;-38.2775506;-19.31421737
241;-37.54587805;-20.71304267
242;-38.32362163;-20.07577639
243;-38.74657841;-19.19216626
244;-39.10336909;-19.45291653
245;-36.59530549;-20.35911507
246;-37.69538372;-19.80381751
247;-38.23899465;-19.11780237
248;-38.26589579;-19.32747117
249;-38.41877456;-19.07419943
250;-39.01133782;-19.52463586
251;-39.02502066;-19.37562033
252;-40.31219041;-21.1995438
253;-37.90146633;-19.71363578
254;-38.63349902;-19.09341385
255;-38.29891091;-19.19340335
256;-38.15705856;-19.14085615
257;-38.29682093;-19.80918293
258;-38.01972219;-19.67865524
259;-38.17301436;-19.21637006
260;-38.11176146;-18.84557318
261;-38.29127753;-19.1704857
262;-37.95418057;-20.70520915
263;-38.21055038;-19.6351361
264;-38.56265138;-19.39137986
265;-38.22878311;-18.97411101
266;-39.77617412;-19.91763663
267;-38.02197318;-18.85065072
268;-38.04664745;-18.97727725
269;-38.21574057;-19.03800009
270;-40.53915735;-20.91012734
271;-38.10821972;-20.66712363
272;-37.7404333;-20.74023577
273;-38.11736319;-18.96037997
274;-39.49602646;-19.68821184
275;-38.2807576;-20.0363971
276;-38.12297332;-19.64111881
277;-37.6602233;-20.74353658
278;-38.12697878;-20.05013714
279;-39.5185999;-19.76128964
280;-38.34351261;-19.31292741
281;-38.02673649;-19.66781941
282;-40.45359352;-21.07091183
283;-38.81845757;-19.2267125
284;-38.21991156;-19.07579501
285;-39.06369558;-19.52465438
286;-38.27659244;-19.04073504
287;-38.02188647;-19.03490285
288;-38.18483568;-19.57665859
289;-38.11023853;-19.08731742
290;-40.60248296;-20.88569836
291;-38.42521493;-19.02838967
292;-37.31659709;-20.52754162
293;-37.99594115;-19.01379643
294;-39.33173857;-19.04029501
295;-38.4006009;-19.10484887
296;-38.83325267;-19.12335495
297;-40.46520586;-21.07448469
298;-38.73678012;-18.90104042
299;-40.64414915;-21.05358888
300;-38.20866213;-19.2460281
