"x";"y"
"1";-46.0969140212183;0.847193085023874
"2";-45.0301660803476;-0.101810484934699
"3";-44.890881261927;0.0144256523947375
"4";-45.1584968257693;-0.113560469426428
"5";-44.3976547133596;-0.557945463876431
"6";-45.0773547174406;0.150365789108607
"7";-45.1087510277747;0.135400072262132
"8";-46.2987706894712;0.805517914670886
"9";-44.8978761967957;-0.0110368443311697
"10";-45.1838177571138;0.181786278564092
"11";-45.1085416799265;0.0283615309064968
"12";-45.076510001531;-0.217995724197148
"13";-45.0209783776747;0.0883374545513673
"14";-45.4071969592473;0.295820495843502
"15";-44.3568108632839;-0.438539384647834
"16";-44.2363131922234;-0.570604346018422
"17";-45.3664977753426;0.0869695678770368
"18";-45.2492507728021;0.319284067700367
"19";-45.3253588417752;0.18856869372735
"20";-44.8513906875817;0.0213567566003006
"21";-44.8750456354207;0.00703368877219912
"22";-45.2070963851328;0.334727765252738
"23";-45.2418114496244;0.163447935770139
"24";-45.2728807418313;0.0566419382065133
"25";-46.2028745458869;0.802901139675583
"26";-46.3109268706367;0.837515913114841
"27";-46.2233590347727;0.82933180572391
"28";-44.714759380575;-0.0944344915900608
"29";-44.8647936421039;-0.0591758371909461
"30";-46.4657259778488;1.12468078379828
"31";-45.3132254444223;-0.0377129832624772
"32";-44.4527417838534;-0.68021634838592
"33";-44.5073590070729;-0.733548024949735
"34";-44.3311291442963;-0.471643866171244
"35";-45.1587587356526;0.335991598732421
"36";-44.3432806782414;-0.467281349165257
"37";-44.6202184097646;-0.164545801034048
"38";-44.7904787893002;-0.179829500860844
"39";-44.4818616571238;-0.651198749101433
"40";-46.0879208544503;0.815705453858384
"41";-44.6768742644051;-0.0124381732709904
