"x";"y"
"1";-35.3249437161323;-4.77511324991682
"2";-34.6382285251461;-7.75251379395998
"3";-35.0883189760698;-5.56127880870178
"4";-34.7186148367401;-7.06049474255112
"5";-35.0531931864242;-5.82428826008784
"6";-35.1346432408111;-5.54484135507373
"7";-35.3541752493505;-4.86464481150638
"8";-34.582897070271;-7.6652239849444
"9";-35.397049625481;-4.81326693520672
"10";-35.1499011718747;-5.06769880541065
"11";-35.1262430476199;-5.31555296776537
"12";-35.1619556644978;-5.71235387448454
"13";-34.5296095629865;-7.54272314836434
"14";-35.0284466340025;-5.85934951480455
"15";-34.5864080915179;-7.47346975370566
"16";-35.2639650785045;-5.10321164602996
"17";-35.038253804541;-5.89725998857291
"18";-34.7428045485164;-6.64788279625238
"19";-35.4510328324949;-4.85515622130968
"20";-34.6531796271608;-7.12135657878988
"21";-34.720491501692;-7.79280280736508
"22";-34.6848779342663;-6.85612631894066
"23";-34.9961540911579;-6.26911792549538
"24";-34.6045756970998;-7.63038309212378
"25";-34.6132310638318;-7.18793976444402
"26";-34.8730177532232;-6.29550181566202
"27";-34.7553704914544;-7.03659491073992
"28";-34.9476474897428;-6.45100835317955
"29";-35.2707264614233;-4.84999414382223
"30";-35.1844573646535;-5.10941777702258
"31";-34.6412577108874;-7.66083941234043
"32";-35.2813746495526;-4.83248790336493
"33";-35.1118246482227;-5.4973005691166
"34";-34.7918553800296;-6.58801924204943
"35";-34.6196779261504;-7.09407917227806
"36";-35.016882910226;-5.6111045797714
"37";-34.9620428242139;-6.1363674551344
"38";-34.6458359858182;-7.89028440165636
"39";-34.827328684774;-6.56945493318862
"40";-34.700322658112;-7.79489730646298
"41";-34.7104323899669;-7.17972597632068
"42";-34.6234238755435;-7.77916429217812
"43";-35.2088971603888;-5.49348747862922
"44";-34.5436441829461;-7.43191677175113
"45";-35.1291002113279;-5.56988486427558
"46";-34.5736129700574;-7.34373607785115
"47";-34.9253688267788;-6.03675495310058
"48";-34.7184681266698;-6.91511851132102
"49";-35.2017971522945;-5.64652293003537
"50";-34.6096770338144;-7.40715787180862
"51";-35.0563570968539;-5.86329299575346
"52";-34.8955761467475;-6.32494802731485
"53";-35.0549582960058;-5.55720394955319
"54";-34.5343502352503;-7.55856976532377
"55";-34.6945999584619;-6.81817012184858
"56";-34.9066955397234;-6.40560257637268
"57";-34.5457126607464;-7.70388871150324
"58";-35.1527961669872;-5.01995249469322
"59";-34.711531146768;-6.99974308613199
"60";-35.3852960756246;-5.00342860231781
"61";-35.2731972963947;-4.81379969919193
"62";-34.6594326464448;-7.61025967284059
"63";-35.0609916936129;-5.97340543404152
"64";-35.0449351919105;-6.04972132715397
"65";-35.0189392358547;-6.09723276382266
"66";-34.7101377821306;-6.76566367536108
"67";-34.7428656009606;-6.82287323511229
"68";-35.2706330322912;-4.96659561544843
"69";-35.372986561778;-4.90166673394991
"70";-34.6408517018962;-7.78993254565448
"71";-34.5785059843371;-7.58969558242452
"72";-34.9261100278739;-6.49526021562656
"73";-35.224800323844;-5.2554097482597
"74";-34.5376076654433;-7.46416058505094
"75";-34.7577198030481;-6.91143552693492
"76";-34.6373567292504;-7.87748900635354
"77";-34.9161753155247;-6.40052652237634
"78";-35.3462550631452;-4.77834186197072
"79";-35.3422002851227;-4.85249638919765
"80";-35.1755513701753;-5.64447376232548
"81";-35.2627100550248;-5.35491551439254
"82";-34.5788785893286;-7.67061804172327
"83";-34.6728958633195;-7.81208967638877
"84";-35.2944995888297;-5.34537067578128
"85";-34.5489299187828;-7.87363652444794
"86";-35.2972821592716;-4.94555009108246
"87";-35.0439104784196;-5.63886692884751
"88";-34.6692738276424;-7.5715874438351
"89";-34.5481163622055;-7.89202670327481
"90";-35.3755614181054;-4.88836441232683
