"x";"y"
"1";-35.7695602373015;-4.89398276270321
"2";-37.7930912498189;-3.79806485577626
"3";-39.6718194366489;-2.33062546723266
"4";-38.940930011193;-2.96732413396542
"5";-37.2206319567363;-4.40536338491924
"6";-41.6480395058719;-2.30100009776303
"7";-38.4371204078489;-3.28043079905026
"8";-37.3804732647738;-4.27739380604541
"9";-38.242504760355;-3.44556835161848
"10";-38.1153632732795;-3.57919160719099
"11";-39.206491932746;-2.68182525489968
"12";-39.1088750425996;-2.92387687743199
"13";-40.0934008101122;-2.31268453387008
"14";-35.4259164935341;-4.91599983178964
"15";-40.8638362711437;-2.26312873287825
"16";-37.4192653380125;-4.19257676249114
"17";-35.648385466449;-4.80823546952964
"18";-37.9720935647357;-3.735439129245
"19";-38.3893346107863;-3.50557204317162
"20";-40.9017977099738;-2.29142326306878
"21";-38.1214747971026;-3.56279135309579
"22";-37.9673644021284;-3.83533460785635
"23";-37.3136151620147;-4.24553232831252
"24";-38.333670441692;-3.47942828774336
"25";-35.6991014048718;-4.82677276020637
"26";-35.7757527661731;-4.80159122066596
"27";-41.2210237070185;-2.24364434090233
"28";-41.2119510532857;-2.3695910391449
"29";-37.423015144316;-4.19639995057089
"30";-41.6189633659602;-2.28647103201831
"31";-35.6944118556606;-4.86930348066613
"32";-39.2420038891986;-2.87872642253456
"33";-37.1537564352884;-4.39699830274144
"34";-38.0900650598691;-3.63284021745576
"35";-38.1731929046633;-3.51458659533318
"36";-36.8645023838249;-4.61651994494558
"37";-39.9656222292772;-2.3316259749278
"38";-39.2735960225307;-2.61279580157739
"39";-38.6376165367998;-3.10420280082338
"40";-39.3457469707364;-2.63360876766546
"41";-35.6007264995477;-4.80411484468868
"42";-37.2334113991121;-4.32345155505952
"43";-38.2050652153448;-3.59624777808925
"44";-38.9710082700008;-3.02939260036848
"45";-41.3038766026581;-2.31452282487112
"46";-39.128257765135;-2.7451766591859
"47";-40.0576019941473;-2.36070741060143
"48";-38.9273338011526;-2.87844481099024
"49";-38.9675490076102;-3.07967795314454
"50";-41.7496522350218;-2.40066789867007
"51";-41.3245154591498;-2.39122670363868
"52";-35.7201329773585;-4.75069592210068
"53";-41.6878596045191;-2.39862093879608
"54";-35.5071818677448;-4.90956777209323
"55";-40.7463713354159;-2.29531003058236
"56";-35.4719320883655;-4.90670171243488
"57";-39.3392512994334;-2.69231686394126
"58";-40.5925931805028;-2.3674725723844
"59";-37.9019151136677;-3.72212126393756
"60";-38.0039066631414;-3.60236069306917
"61";-41.5233556022877;-2.39040548902471
"62";-37.9571231067732;-3.76035659365077
"63";-39.6139264792495;-2.42564805501397
"64";-39.0305556633291;-2.74938206734369
"65";-38.6290081632147;-3.31217519051791
"66";-38.8787264923791;-3.14707519638864
"67";-41.6427706440461;-2.39103703538538
"68";-40.3377712074739;-2.31307793260389
"69";-40.6903585611274;-2.33223795721959
"70";-40.3140140083088;-2.32965617222432
"71";-39.5182980814113;-2.63064788935636
"72";-39.6652277760534;-2.53588168297475
"73";-40.894235637642;-2.29445483593736
"74";-38.629289282979;-3.28802125350572
"75";-39.7230164009721;-2.39752251158445
"76";-41.630720222747;-2.30861200118926
"77";-37.9778712377143;-3.62420386226894
"78";-38.6291904375148;-3.12093688911013
"79";-39.6879569269728;-2.32122161839926
"80";-38.2832948672813;-3.47362548081554
"81";-37.5720760850415;-4.10838690046105
"82";-39.9399682869906;-2.31243009738089
"83";-38.9179878410208;-2.964001074031
"84";-36.4396027508946;-4.73912945533288
"85";-39.6446493452536;-2.35811445010873
"86";-41.5030294082921;-2.24121186110866
"87";-39.3693073681013;-2.5806493985618
"88";-35.4895849574236;-4.87778629846545
"89";-39.6433874959089;-2.34699526095949
"90";-39.9125073410966;-2.35191759509081
"91";-38.8584132120553;-2.95665962118004
"92";-38.555909179155;-3.17828437299491
"93";-38.7705168500792;-3.2118951287528
"94";-39.4549398851576;-2.49613691321108
"95";-37.772532844193;-3.91070974954101
"96";-38.7408278603726;-3.00743639643188
"97";-39.6703990393258;-2.57201170613058
"98";-41.5919411164669;-2.32777744363458
"99";-41.0986622897;-2.33806956448825
"100";-39.6977768182503;-2.4281667791761
"101";-38.0653060036744;-3.66708111474127
"102";-37.1401837901869;-4.47888514754432
"103";-37.7084055140934;-3.89650662022363
"104";-37.7898765905199;-3.85732655165531
"105";-38.7591798063789;-3.17357736427011
"106";-38.1333235370545;-3.47612327776593
"107";-35.4209129709718;-4.84800602278044
"108";-36.0019749861953;-4.83964167270763
"109";-39.4369608294172;-2.65962949218648
"110";-39.6052166826422;-2.45946259241761
"111";-38.4959973742496;-3.21958301823423
"112";-37.5325913688533;-4.10166751829605
"113";-38.9264231710995;-2.84960935690906
"114";-41.6935486402591;-2.47432612402341
"115";-39.1667058234555;-2.9312403686014
"116";-37.6798153527081;-4.07120793571672
"117";-38.7823190630551;-3.22444165480952
"118";-41.6769555052917;-2.49582935584057
"119";-37.0227473902938;-4.5459641032475
"120";-41.6818081546952;-2.23444141541002
"121";-38.7654559254693;-3.24499961906415
"122";-38.1626984102968;-3.62348674426787
"123";-35.4334846847113;-4.78306700175861
"124";-39.2969009600021;-2.8455115012282
"125";-39.1161470993189;-2.86804509281111
"126";-37.0609079115984;-4.50856297148392
"127";-38.1936100866059;-3.44698714203713
"128";-35.5332389656687;-4.86622406830522
"129";-36.2237228640623;-4.79062089454965
"130";-38.3126101643753;-3.57632083275123
"131";-38.1949954973483;-3.62514019676088
"132";-39.6663377245655;-2.57387948725559
"133";-40.2764530714343;-2.27933012919175
"134";-38.2478733857002;-3.56791180911381
"135";-36.6802386794121;-4.67824535351852
"136";-37.142728907119;-4.39556114653102
"137";-41.0794500909673;-2.36590537436656
"138";-35.2774585049637;-4.83669118409906
"139";-39.7206679868791;-2.31731273992523
"140";-38.1999585676282;-3.41137403996126
"141";-38.171190703949;-3.59095689068199
"142";-37.7520617131866;-3.98864373335172
"143";-39.5233631517331;-2.52486196535407
"144";-37.449653984732;-4.21785032617627
"145";-39.301396319988;-2.55485219788621
"146";-41.0078883575834;-2.39789293649723
"147";-39.1277858649772;-2.96744201360759
"148";-37.9718262843108;-3.76978949549282
"149";-38.0973710937651;-3.67108301792457
"150";-39.311260568708;-2.71406406990509
