cv_0;pa;lon;lat;B_CAL_X;B_CV_Max;B_CV_Min;B_Light_Max;B_Light_Min;B_SAL_Max;B_SAL_Min;B_T_Max;B_T_Min
3;1;-50.25853173;4.594048294;5.397816181;0.59188354;0.570943356;0;5.681302071;35.8854332;35.19453049;16.61746025;11.07638836
3;1;-48.05422377;2.26213721;5.551791191;0.755722761;0.678810239;3.58E-05;5.943373203;36.59847641;36.0030365;27.48165703;17.33727455
5;1;-47.21187857;1.720310443;5.531301498;0.625650227;0.715927839;0.001331484;6.634282112;36.60086823;36.09190369;28.67317963;23.12479973
2;1;-47.84449131;1.745911989;5.517807484;0.542359948;0.562771082;4.364367962;24.80714989;36.47554779;36.003685;28.80737305;25.9112854
4;1;-50.69755871;5.126399315;4.834052563;0.558802187;0.536887944;0;1.953857541;36.23331451;35.55924988;17.87669945;11.31084728
3;1;-46.65741157;1.155670389;5.563588619;0.69250834;0.685065329;0.001684484;5.476813793;36.68741226;36.11868286;27.25452042;16.26063538
1;1;-50.26169702;3.845950052;5.481434345;0.924134016;0.917639077;0;1.735084891;36.46522522;35.95676422;27.3965416;15.01550674
4;1;-47.15158267;1.600929837;5.529229641;0.672627032;0.709207237;0.000198139;9.051059723;36.65212631;36.09910965;27.85669136;20.35306358
1;1;-49.48838057;3.220309059;5.524787426;0.69341141;0.721472561;0;2.69658041;36.44579315;35.99489594;28.18399239;23.83252335
3;1;-47.89832814;1.986816009;5.549518585;0.574140847;0.578856826;0.000298671;6.755197525;36.41013336;35.94441605;28.84923744;25.99785995
5;1;-48.83478957;2.837678569;5.545409203;0.842770576;0.82650739;0;1.894849777;36.48711777;36.0578537;28.01397896;18.91809845
4;1;-48.05929195;2.218840841;5.552130222;0.7105726;0.686470747;5.26E-05;6.400713444;36.54417038;36.06920242;28.44667435;22.33065033
1;1;-49.47718751;3.25647652;5.523145676;0.756957591;0.764043033;0;3.249652386;36.45953751;36.01493073;27.90879631;21.03456116
2;1;-50.33814964;4.605858629;5.388062;0.687096834;0.653762877;0.003988344;13.20413399;36.17746735;35.65062714;23.36602783;18.57211304
1;1;-49.17555243;3.358416913;5.521865845;0.835906923;0.813874483;0;2.51764679;36.49013519;36.05881882;27.63112259;17.50587654
2;1;-49.15730106;3.406584154;5.640519142;0.824156702;0.797008574;0;2.735751152;36.50461578;36.04012299;27.43427849;16.39982986
4;1;-50.89872812;5.199899474;5.213357925;0.630911827;0.596111417;0;3.081495047;36.04318237;35.37429428;18.49059677;12.06162453
1;1;-48.76033974;2.947741059;5.675706863;0.845251918;0.806870222;0;2.434900522;36.55721283;36.05707932;27.32794571;15.03233528
1;1;-47.70425917;2.484732125;5.656541824;0.700272202;0.6134094;0.01454489;10.33704472;36.10655594;35.69168472;22.00949097;13.37164211
3;1;-46.58446574;1.164518779;5.502430916;0.695685029;0.706802964;0.014174408;8.732784271;36.73057556;36.16563797;27.42209244;16.87465096
4;1;-47.49078216;1.488934873;5.532926083;0.654534876;0.73029846;0;2.838545322;36.63900757;36.12582397;28.49776649;21.57966423
3;1;-47.21157788;1.596224049;5.530772686;0.738572121;0.76546663;0.000579179;7.583255291;36.70321655;36.14113998;27.76642036;17.62011147
3;1;-49.72190167;3.737299869;5.496305466;0.910301685;0.836616635;0;2.240438223;36.45970154;36.02506638;27.52449608;17.21907234
1;1;-47.41015097;1.677296459;5.536395073;0.640871048;0.705905557;0.000185978;6.454761028;36.62800217;36.12348938;28.56758308;23.15826988
4;1;-47.11213821;1.386328008;5.524147034;0.526785195;0.613597751;2.19E-08;2.785088778;36.43684769;35.93408203;28.49573517;24.40970612
3;1;-46.55207013;1.076902572;5.567964077;0.656915903;0.780453563;0.024744688;9.314156532;36.76123428;36.19473267;27.98625374;19.27869225
5;1;-47.95789698;1.938866082;5.510592937;0.523686826;0.534628689;0.831565857;16.8745575;36.36133575;35.88014984;28.90850639;26.3269558
3;1;-49.11109132;3.221078886;5.528374195;0.834469557;0.819287777;0;2.620601177;36.49835205;36.06389618;27.64746666;17.1011982
4;1;-48.92782631;2.989673654;5.539228916;0.863967538;0.830603838;0;2.122717619;36.50993347;36.08232117;27.83123016;18.15046883
1;1;-48.89769703;3.328729996;5.650265217;0.860635698;0.831661403;0;3.214157581;36.53754044;36.04441071;27.33857536;14.91285896
3;1;-49.76901129;3.700325118;5.497176647;0.927640676;0.853973866;0;2.835873842;36.45812988;36.02365494;27.53281403;16.59990692
5;1;-48.73818378;2.74310514;5.549237251;0.838960588;0.810669303;0;2.202825069;36.48603058;36.06026459;28.19141388;21.16404724
1;1;-49.82869512;3.87369064;5.54823494;0.886031985;0.882626951;0;2.846459627;36.49326706;35.94044495;27.44255638;16.4333744
4;1;-48.08161413;2.253221232;5.552355766;0.763486385;0.695816278;2.53E-05;4.596781731;36.58854294;35.96556091;27.51967621;17.28550911
2;1;-47.27000589;1.665662565;5.532607079;0.716319382;0.809151173;0.002011651;8.092997551;36.69199371;36.17577362;28.45979881;20.79722404
3;1;-47.99641714;1.788424518;5.512379646;0.698176026;0.73362416;0;6.932170391;36.59235382;36.1242218;28.54863548;21.72038841
2;1;-49.05882728;3.297896806;5.525819778;0.763613164;0.796686232;0;2.464102745;36.54737473;36.02791214;27.21804619;15.25178909
3;1;-49.27311941;3.124930749;5.531148434;0.729868472;0.747220695;0;1.511622548;36.45912933;36.01439667;27.74350929;19.62162781
3;1;-49.27412375;3.160078045;5.529500008;0.755673707;0.757934153;0;1.639199018;36.45841217;36.01411438;27.75275993;19.59632492
2;1;-46.64471664;1.08048948;5.566026211;0.670443594;0.70439744;2.54E-05;3.941584349;36.70183182;36.12607956;27.43089294;17.19330978
3;1;-50.32712875;4.701043388;4.307743549;0.630494893;0.657825112;0.000285281;6.056971073;36.05902863;35.40497589;19.2232666;11.73085022
1;1;-47.10457152;1.410876518;5.52478838;0.602046072;0.632553041;9.56E-08;2.978290558;36.52545547;35.98051453;28.07660484;21.52622414
5;1;-50.76697717;5.130457515;4.81972599;0.621450484;0.632569909;0;2.914351702;36.44318771;35.77836609;22.93701172;12.18039417
2;1;-50.24509416;4.547582524;5.40596962;0.596728802;0.558297336;0;3.8016541;36.00213242;35.27555847;17.11657143;11.17292976
3;1;-49.06094137;2.904095478;5.541935921;0.738920093;0.764846027;0;1.933562279;36.463871;36.02297592;27.94524002;20.61162186
5;1;-47.3778574;1.706098126;5.535617828;0.727438986;0.832009971;2.04E-05;2.635029078;36.69867706;36.18323135;28.28212166;19.68325424
1;1;-49.67981598;3.678152378;5.499856472;0.829416811;0.782064557;0;1.961636424;36.46321106;36.02780914;27.58030319;19.34762955
1;1;-50.26271217;4.63784388;5.390908241;0.588220358;0.588344157;0;5.584242344;35.67343903;35.05846024;15.63849258;10.84722519
3;1;-47.31785772;1.356040919;5.542243481;0.548209906;0.615628004;9.04E-05;10.04085636;36.60263443;36.07525253;28.63840294;24.55150604
