"","species_name","algorithm","dismo_threshold","kappa","spec_sens","no_omission","prevalence","equal_sens_spec","sensitivity","correlation","AUC","AUCratio","pROC","TSSmax","KAPPAmax","prevalence.value","PPP","NPP","TPR","TNR","FPR","FNR","CCR","Kappa","F_score","Jaccard"
"1","rodolito","brt","spec_sens",1.308510586,-0.0841572,-2.903610302,0.32394756,1.059007038,1.855044854,0.875197711452689,0.98060239089345,1.9612047817869,1.81705727393397,0.911801203592437,0.891303615910702,0.322451791709972,0.867298207093272,0.991987602445047,0.984070796460177,0.927730407132261,0.0722695928677394,0.015929203539823,0.94589705319257,0.880631603903544,0.92166374501045,0.854904084609194
"2","rodolito","glm","spec_sens",0.518466278,0.387237642,0.004456188,0.323708238,0.568301608,0.640923048,0.868649212287631,0.968531435434985,1.93706287086997,1.52354292623395,0.887284443292749,0.85910896265997,0.322451791709972,0.840861036607804,0.987267558074556,0.975221238938053,0.912063204354696,0.0879367956453045,0.0247787610619469,0.932428101076563,0.851600255388112,0.903004027883567,0.823194184228789
"3","rodolito","maxent","spec_sens",0.49372524,0.368602024,0.080062698,0.322899052,0.484512544,0.588479132,0.893353903148927,0.97936243268083,1.95872486536166,1.79558612986801,0.90428159093777,0.885877291014192,0.322451791709972,0.868398397667274,0.987356871083853,0.974867256637168,0.929414334300602,0.0705856656993978,0.0251327433628319,0.944070894773995,0.876078435257613,0.918388841339365,0.849169423475087
"4","rodolito","maxnet","spec_sens",0.150932854,0.08063467,0.00100159,0.321715428,0.121884194,0.238540632,0.853545817344202,0.983721068003598,1.9674421360072,1.78089254642839,0.900735807375809,0.885731169737185,0.322451791709972,0.878775866239503,0.982184191732921,0.964247787610619,0.936488019765189,0.0635119802348109,0.0357522123893805,0.945439715868687,0.878314989003185,0.919411359100947,0.850923901253033
"5","rodolito","rf","spec_sens",0.655840002,0.510963628,0.12296,0.323627048,0.692756882,0.838059464,0.919557984113703,0.988214555286634,1.97642911057327,1.85489902326507,0.927398569371864,0.910554048709755,0.322451791709972,0.894468604236722,0.991337339630917,0.982654867256637,0.944743702115227,0.055256297884773,0.0173451327433628,0.956968419434915,0.904037349871937,0.936454897001223,0.880576407324341
"6","rodolito","svmk","spec_sens",0.573979754,0.571484148,0.033808046,0.323091164,0.573910506,0.663666578,0.898949112670345,0.98428016186096,1.96856032372192,1.7272421782065,0.913249674981042,0.902166148405849,0.322451791709972,0.91038847475991,0.979644108926033,0.958230088495575,0.955019586485467,0.0449804135145331,0.0417699115044248,0.956055437905534,0.900811739161321,0.933620760930939,0.875544819334699
