sp;lon;lat
rodolito;-41.21195105;-2.369591039
rodolito;-41.61896337;-2.286471032
rodolito;-39.24200389;-2.878726423
rodolito;-39.96562223;-2.331625975
rodolito;-39.27359602;-2.612795802
rodolito;-38.63761654;-3.104202801
rodolito;-39.34574697;-2.633608768
rodolito;-38.97100827;-3.0293926
rodolito;-41.3038766;-2.314522825
rodolito;-39.12825777;-2.745176659
rodolito;-40.05760199;-2.360707411
rodolito;-38.9273338;-2.878444811
rodolito;-38.96754901;-3.079677953
rodolito;-41.74965224;-2.400667899
rodolito;-41.32451546;-2.391226704
rodolito;-41.6878596;-2.398620939
rodolito;-40.74637134;-2.295310031
rodolito;-39.3392513;-2.692316864
rodolito;-40.59259318;-2.367472572
rodolito;-41.5233556;-2.390405489
rodolito;-39.61392648;-2.425648055
rodolito;-39.03055566;-2.749382067
rodolito;-38.62900816;-3.312175191
rodolito;-38.87872649;-3.147075196
rodolito;-41.64277064;-2.391037035
rodolito;-40.33777121;-2.313077933
rodolito;-40.69035856;-2.332237957
rodolito;-40.31401401;-2.329656172
rodolito;-39.51829808;-2.630647889
rodolito;-39.66522778;-2.535881683
rodolito;-40.89423564;-2.294454836
rodolito;-38.62928928;-3.288021254
rodolito;-39.7230164;-2.397522512
rodolito;-41.63072022;-2.308612001
rodolito;-38.62919044;-3.120936889
rodolito;-39.68795693;-2.321221618
rodolito;-39.93996829;-2.312430097
rodolito;-38.91798784;-2.964001074
rodolito;-39.64464935;-2.35811445
rodolito;-41.50302941;-2.241211861
rodolito;-39.36930737;-2.580649399
rodolito;-39.6433875;-2.346995261
rodolito;-39.91250734;-2.351917595
rodolito;-38.85841321;-2.956659621
rodolito;-38.55590918;-3.178284373
rodolito;-38.77051685;-3.211895129
rodolito;-39.45493989;-2.496136913
rodolito;-38.74082786;-3.007436396
rodolito;-39.67039904;-2.572011706
rodolito;-41.59194112;-2.327777444
rodolito;-41.09866229;-2.338069564
rodolito;-39.69777682;-2.428166779
rodolito;-38.75917981;-3.173577364
rodolito;-39.43696083;-2.659629492
rodolito;-39.60521668;-2.459462592
rodolito;-38.49599737;-3.219583018
rodolito;-38.92642317;-2.849609357
rodolito;-41.69354864;-2.474326124
rodolito;-39.16670582;-2.931240369
rodolito;-38.78231906;-3.224441655
rodolito;-41.67695551;-2.495829356
rodolito;-41.68180815;-2.234441415
rodolito;-38.76545593;-3.244999619
rodolito;-39.29690096;-2.845511501
rodolito;-39.1161471;-2.868045093
rodolito;-39.66633772;-2.573879487
rodolito;-40.27645307;-2.279330129
rodolito;-41.07945009;-2.365905374
rodolito;-39.72066799;-2.31731274
rodolito;-39.52336315;-2.524861965
rodolito;-39.30139632;-2.554852198
rodolito;-41.00788836;-2.397892936
rodolito;-39.12778586;-2.967442014
rodolito;-39.31126057;-2.71406407
rodolito;-37.828;-1.895
rodolito;-37.84;-1.913
rodolito;-38.126;-1.657
rodolito;-38.15;-1.651
rodolito;-38.298;-2.139
rodolito;-38.28;-2.175
rodolito;-38.286;-2.21
rodolito;-38.304;-2.175
rodolito;-38.34;-2.198
rodolito;-35.76956024;-4.893982763
rodolito;-37.79309125;-3.798064856
rodolito;-37.22063196;-4.405363385
rodolito;-37.38047326;-4.277393806
rodolito;-38.24250476;-3.445568352
rodolito;-38.11536327;-3.579191607
rodolito;-35.42591649;-4.915999832
rodolito;-37.41926534;-4.192576762
rodolito;-35.64838547;-4.80823547
rodolito;-37.97209356;-3.735439129
rodolito;-38.1214748;-3.562791353
rodolito;-37.9673644;-3.835334608
rodolito;-37.31361516;-4.245532328
rodolito;-35.6991014;-4.82677276
rodolito;-35.77575277;-4.801591221
rodolito;-37.42301514;-4.196399951
rodolito;-35.69441186;-4.869303481
rodolito;-37.15375644;-4.396998303
rodolito;-38.09006506;-3.632840217
rodolito;-38.1731929;-3.514586595
rodolito;-36.86450238;-4.616519945
rodolito;-35.6007265;-4.804114845
rodolito;-37.2334114;-4.323451555
rodolito;-38.20506522;-3.596247778
rodolito;-35.72013298;-4.750695922
rodolito;-35.50718187;-4.909567772
rodolito;-35.47193209;-4.906701712
rodolito;-37.90191511;-3.722121264
rodolito;-38.00390666;-3.602360693
rodolito;-37.95712311;-3.760356594
rodolito;-37.97787124;-3.624203862
rodolito;-38.28329487;-3.473625481
rodolito;-37.57207609;-4.1083869
rodolito;-36.43960275;-4.739129455
rodolito;-35.48958496;-4.877786298
rodolito;-37.77253284;-3.91070975
rodolito;-38.065306;-3.667081115
rodolito;-37.14018379;-4.478885148
rodolito;-37.70840551;-3.89650662
rodolito;-37.78987659;-3.857326552
rodolito;-38.13332354;-3.476123278
rodolito;-35.42091297;-4.848006023
rodolito;-36.00197499;-4.839641673
rodolito;-37.53259137;-4.101667518
rodolito;-37.67981535;-4.071207936
rodolito;-37.02274739;-4.545964103
rodolito;-38.16269841;-3.623486744
rodolito;-35.43348468;-4.783067002
rodolito;-37.06090791;-4.508562971
rodolito;-38.19361009;-3.446987142
rodolito;-35.53323897;-4.866224068
rodolito;-36.22372286;-4.790620895
rodolito;-38.31261016;-3.576320833
rodolito;-38.1949955;-3.625140197
rodolito;-38.24787339;-3.567911809
rodolito;-36.68023868;-4.678245354
rodolito;-37.14272891;-4.395561147
rodolito;-35.2774585;-4.836691184
rodolito;-38.19995857;-3.41137404
rodolito;-38.1711907;-3.590956891
rodolito;-37.75206171;-3.988643733
rodolito;-37.44965398;-4.217850326
rodolito;-37.97182628;-3.769789495
rodolito;-38.09737109;-3.671083018
rodolito;-35.085;-3.41
rodolito;-35.327;-3.788
rodolito;-35.349;-3.845
rodolito;-35.863;-3.988
rodolito;-35.884;-4.023
rodolito;-35.906;-4.095
rodolito;-35.927;-3.988
rodolito;-35.97;-3.966
rodolito;-35.991;-4.038
rodolito;-37.098;-1.718
rodolito;-37.109;-1.734
rodolito;-35.425;-5.174
rodolito;-36.699;-5.018
rodolito;-37.251;-4.454
rodolito;-37.254;-4.447
rodolito;-37.287;-3.81
rodolito;-35.34683333;-5.226694444
rodolito;-36.21005556;-4.882083333
rodolito;-36.23227778;-4.877638889
rodolito;-36.23261111;-4.877527778
rodolito;-36.6;-4.717
rodolito;-36.601;-4.721
rodolito;-36.601;-4.719
rodolito;-36.602;-4.717
rodolito;-36.602;-4.715
rodolito;-36.602;-4.712
rodolito;-36.603;-4.714
rodolito;-36.604;-4.717
rodolito;-35.26305556;-5.149444444
rodolito;-35.26333333;-5.151944444
rodolito;-35.26361111;-5.149166667
rodolito;-35.26722222;-5.051944444
rodolito;-35.31361111;-5.0975
rodolito;-35.31638889;-5.067777778
rodolito;-35.32;-5.105555556
rodolito;-35.32694444;-5.113888889
rodolito;-35.33527778;-5.207222222
rodolito;-35.36222222;-5.156388889
rodolito;-35.39555556;-5.066666667
rodolito;-35.39583333;-5.0675
rodolito;-33.83055556;-3.860555556
rodolito;-33.85527778;-3.846944444
rodolito;-33.8825;-3.843888889
rodolito;-35.32494372;-4.77511325
rodolito;-34.63822853;-7.752513794
rodolito;-35.08831898;-5.561278809
rodolito;-34.71861484;-7.060494743
rodolito;-35.05319319;-5.82428826
rodolito;-35.13464324;-5.544841355
rodolito;-35.35417525;-4.864644812
rodolito;-34.58289707;-7.665223985
rodolito;-35.39704963;-4.813266935
rodolito;-35.14990117;-5.067698805
rodolito;-35.12624305;-5.315552968
rodolito;-35.16195566;-5.712353874
rodolito;-34.52960956;-7.542723148
rodolito;-35.02844663;-5.859349515
rodolito;-34.58640809;-7.473469754
rodolito;-35.26396508;-5.103211646
rodolito;-35.0382538;-5.897259989
rodolito;-34.74280455;-6.647882796
rodolito;-35.45103283;-4.855156221
rodolito;-34.65317963;-7.121356579
rodolito;-34.7204915;-7.792802807
rodolito;-34.68487793;-6.856126319
rodolito;-34.99615409;-6.269117925
rodolito;-34.6045757;-7.630383092
rodolito;-34.61323106;-7.187939764
rodolito;-34.87301775;-6.295501816
rodolito;-34.75537049;-7.036594911
rodolito;-34.94764749;-6.451008353
rodolito;-35.27072646;-4.849994144
rodolito;-35.18445736;-5.109417777
rodolito;-34.64125771;-7.660839412
rodolito;-35.28137465;-4.832487903
rodolito;-35.11182465;-5.497300569
rodolito;-34.79185538;-6.588019242
rodolito;-34.61967793;-7.094079172
rodolito;-35.01688291;-5.61110458
rodolito;-34.96204282;-6.136367455
rodolito;-34.64583599;-7.890284402
rodolito;-34.82732868;-6.569454933
rodolito;-34.70032266;-7.794897306
rodolito;-34.71043239;-7.179725976
rodolito;-34.62342388;-7.779164292
rodolito;-35.20889716;-5.493487479
rodolito;-34.54364418;-7.431916772
rodolito;-35.12910021;-5.569884864
rodolito;-34.57361297;-7.343736078
rodolito;-34.92536883;-6.036754953
rodolito;-34.71846813;-6.915118511
rodolito;-35.20179715;-5.64652293
rodolito;-34.60967703;-7.407157872
rodolito;-35.0563571;-5.863292996
rodolito;-34.89557615;-6.324948027
rodolito;-35.0549583;-5.55720395
rodolito;-34.53435024;-7.558569765
rodolito;-34.69459996;-6.818170122
rodolito;-34.90669554;-6.405602576
rodolito;-34.54571266;-7.703888712
rodolito;-35.15279617;-5.019952495
rodolito;-34.71153115;-6.999743086
rodolito;-35.38529608;-5.003428602
rodolito;-35.2731973;-4.813799699
rodolito;-34.65943265;-7.610259673
rodolito;-35.06099169;-5.973405434
rodolito;-35.04493519;-6.049721327
rodolito;-35.01893924;-6.097232764
rodolito;-34.71013778;-6.765663675
rodolito;-34.7428656;-6.822873235
rodolito;-35.27063303;-4.966595615
rodolito;-35.37298656;-4.901666734
rodolito;-34.6408517;-7.789932546
rodolito;-34.57850598;-7.589695582
rodolito;-34.92611003;-6.495260216
rodolito;-35.22480032;-5.255409748
rodolito;-34.53760767;-7.464160585
rodolito;-34.7577198;-6.911435527
rodolito;-34.63735673;-7.877489006
rodolito;-34.91617532;-6.400526522
rodolito;-35.34625506;-4.778341862
rodolito;-35.34220029;-4.852496389
rodolito;-35.17555137;-5.644473762
rodolito;-35.26271006;-5.354915514
rodolito;-34.57887859;-7.670618042
rodolito;-34.67289586;-7.812089676
rodolito;-35.29449959;-5.345370676
rodolito;-34.54892992;-7.873636524
rodolito;-35.29728216;-4.945550091
rodolito;-35.04391048;-5.638866929
rodolito;-34.66927383;-7.571587444
rodolito;-34.54811636;-7.892026703
rodolito;-35.37556142;-4.888364412
rodolito;-35.16130413;-5.460035653
rodolito;-34.92305187;-6.532107693
rodolito;-34.91805587;-6.359084886
rodolito;-34.9459874;-6.213691013
rodolito;-34.84361978;-6.595076402
rodolito;-35.03861113;-5.635993972
rodolito;-35.3891419;-4.776884162
rodolito;-35.27244486;-5.409042304
rodolito;-34.96487116;-6.299043454
rodolito;-34.81281238;-6.417136609
rodolito;-35.44693343;-4.827158304
rodolito;-34.4713329;-7.549204291
rodolito;-34.67886254;-7.081437716
rodolito;-35.29343231;-5.190673105
rodolito;-34.60720694;-7.475007961
rodolito;-34.50776006;-7.50272142
rodolito;-35.05022425;-5.458424002
rodolito;-35.11631349;-5.70510529
