Project;X;Y;Ecoregion;Basin;BC region
Alucia;-44.87504564;0.007033689;ER72;PAMA;
Alucia;-45.20709639;0.334727765;ER72;PAMA;
Alucia;-45.24181145;0.163447936;ER72;PAMA;
Alucia;-45.27288074;0.056641938;ER72;PAMA;
Alucia;-46.20287455;0.80290114;ER72;PAMA;
Alucia;-46.31092687;0.837515913;ER72;PAMA;
Alucia;-46.22335903;0.829331806;ER72;PAMA;
Alucia;-44.71475938;-0.094434492;ER72;PAMA;
Alucia;-44.86479364;-0.059175837;ER72;PAMA;
Alucia;-46.46572598;1.124680784;ER72;PAMA;
Alucia;-45.31322544;-0.037712983;ER72;PAMA;
Alucia;-44.45274178;-0.680216348;ER72;PAMA;
Alucia;-44.50735901;-0.733548025;ER72;PAMA;
Alucia;-44.33112914;-0.471643866;ER72;PAMA;
Alucia;-45.15875874;0.335991599;ER72;PAMA;
Alucia;-44.34328068;-0.467281349;ER72;PAMA;
Alucia;-44.62021841;-0.164545801;ER72;PAMA;
Alucia;-44.79047879;-0.179829501;ER72;PAMA;
Alucia;-44.48186166;-0.651198749;ER72;PAMA;
Alucia;-46.08792085;0.815705454;ER72;PAMA;
Alucia;-44.67687426;-0.012438173;ER72;PAMA;
EIA Tarol;-44.755553;-0.939805;ER72;PAMA;
EIA Tarol;-44.784106;-0.964789;ER72;PAMA;
EIA Tarol;-44.738896;-0.964789;ER72;PAMA;
EIA Tarol;-44.756742;-0.954082;ER72;PAMA;
EIA Tarol;-44.76626;-0.958841;ER72;PAMA;
Bahia2014;-46.35972222;1.076666667;ER72;PAMA;
Bahia2014;-46.64055556;0.759722222;ER72;PAMA;
Bahia2014;-46.64083333;0.759444444;ER72;PAMA;
TeseNicholas;-43.98333333;-0.4531;ER72;PAMA;
TeseNicholas;-44.81;-0.27;ER72;PAMA;
TeseNicholas;-45.56;0.11;ER72;PAMA;
Alucia;-42.77131445;-1.936001031;ER72;BAR;
Alucia;-42.02463903;-2.352646413;ER72;BAR;
Alucia;-42.9316101;-1.83999877;ER72;BAR;
Alucia;-43.03419787;-1.842021026;ER72;BAR;
Alucia;-42.79232995;-1.986834667;ER72;BAR;
Alucia;-43.22681888;-1.692399289;ER72;BAR;
Alucia;-43.51315787;-1.293530335;ER72;BAR;
Alucia;-42.07330334;-2.379485485;ER72;BAR;
Alucia;-42.58211403;-2.049487358;ER72;BAR;
Alucia;-41.87652782;-2.252502829;ER72;BAR;
Alucia;-43.19429678;-1.723066571;ER72;BAR;
Alucia;-42.96261358;-1.834327758;ER72;BAR;
Alucia;-42.23225337;-2.149679905;ER72;BAR;
Alucia;-42.6434524;-2.033506503;ER72;BAR;
Alucia;-43.45250857;-1.349491257;ER72;BAR;
Alucia;-42.700562;-2.006153548;ER72;BAR;
BM-POT-16 e -19;-39.372;-3.156;ER75;CE;
Poços;-38.82984642;-3.14138628;ER75;CE;
Poços;-38.98732726;-2.95155034;ER75;CE;
Kempf1970;-39.67181944;-2.330625467;ER75;CE;
Kempf1970;-38.94093001;-2.967324134;ER75;CE;
Kempf1970;-41.64803951;-2.301000098;ER72;CE;
Kempf1970;-38.43712041;-3.280430799;ER75;CE;
Kempf1970;-39.20649193;-2.681825255;ER75;CE;
Kempf1970;-39.10887504;-2.923876877;ER75;CE;
Kempf1970;-40.09340081;-2.312684534;ER75;CE;
Kempf1970;-40.86383627;-2.263128733;ER75;CE;
Kempf1970;-38.38933461;-3.505572043;ER75;CE;
Kempf1970;-40.90179771;-2.291423263;ER75;CE;
Kempf1970;-38.33367044;-3.479428288;ER75;CE;
Kempf1970;-41.22102371;-2.243644341;ER75;CE;
Kempf1970;-41.21195105;-2.369591039;ER75;CE;
Kempf1970;-41.61896337;-2.286471032;ER72;CE;
Kempf1970;-39.24200389;-2.878726423;ER75;CE;
Kempf1970;-39.96562223;-2.331625975;ER75;CE;
Kempf1970;-39.27359602;-2.612795802;ER75;CE;
Kempf1970;-38.63761654;-3.104202801;ER75;CE;
Kempf1970;-39.34574697;-2.633608768;ER75;CE;
Kempf1970;-38.97100827;-3.0293926;ER75;CE;
Kempf1970;-41.3038766;-2.314522825;ER75;CE;
Kempf1970;-39.12825777;-2.745176659;ER75;CE;
Kempf1970;-40.05760199;-2.360707411;ER75;CE;
Kempf1970;-38.9273338;-2.878444811;ER75;CE;
Kempf1970;-38.96754901;-3.079677953;ER75;CE;
Kempf1970;-41.74965224;-2.400667899;ER72;CE;
Kempf1970;-41.32451546;-2.391226704;ER75;CE;
Kempf1970;-41.6878596;-2.398620939;ER72;CE;
